year,state,abortionratelt20,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,abortionratetotal
1988,AL,32.9,40.5,25.4,14.5,7.4,2.2,21.3
1992,AL,28.9,38.1,22.5,12,6.9,2.1,18.4
1996,AL,21,34.6,19.7,10.9,5.6,1.8,15.3
2000,AL,16.2,29.6,20.3,10.2,5.4,1.6,13.5
2005,AL,12.5,23.2,16.9,10.2,4.9,1.4,11.4
2006,AL,12.5,23.6,17.1,9.7,4.9,1.5,11.5
2007,AL,11.9,24.1,17.6,9.9,5,1.3,11.6
2008,AL,12,23.1,17.5,9.9,4.8,1.3,11.5
2009,AL,10.7,21.9,16.3,9.6,5.2,1.4,10.9
2010,AL,9.6,20.8,16,9.5,4.6,1.3,10.4
2011,AL,9.2,19.4,15.2,9.2,4.8,1.4,10
2012,AL,8.1,17.1,14.2,9.2,4.7,1.5,9.3
2013,AL,6.9,16.2,13.5,8.3,4.2,1.2,8.6
2014,AL,6.5,16.4,13.7,8.5,4.4,1.3,8.7
2015,AL,5.9,16.8,13.3,8.4,4.3,1.2,8.5
2016,AL,5.5,15.8,13.7,8.4,4.1,1.3,8.3
2017,AL,5.3,15.1,13.2,8.2,4.4,1.1,8.1
1988,AK,36.8,43.9,25.2,11.3,6.9,2.3,19.8
1992,AK,30.9,56,25.4,12.7,7.3,2.6,19.5
1996,AK,19.3,46.9,27.2,11.7,5.5,1.9,16
2000,AK,15.1,33,21.1,12.1,5.9,1.9,13.5
2005,AK,16.2,31.4,21.2,12.4,7.1,3.2,15
2006,AK,15.2,29.8,21.5,11.5,7,2.3,14.5
2007,AK,14.7,26.8,19.7,12.3,7.8,2.8,14.1
2008,AK,15.4,27.2,19.2,10.8,7,2.7,13.9
2009,AK,14.3,27.7,20.3,11.2,8.2,2.4,14.3
2010,AK,17,29.1,18.6,11.8,6.9,2.4,14.7
2011,AK,14.5,27.5,18.3,10.7,7.7,2.3,14
2012,AK,12.5,25.4,17,9.6,7.7,2.3,12.9
2013,AK,10.6,21.7,17,10.3,6,2.3,11.8
2014,AK,9.7,20.5,15.5,9.9,5.6,2.8,11.1
2015,AK,8,20.3,14.6,8.9,6.2,2.5,10.5
2016,AK,7.8,17.3,14,9.7,5.8,2.3,9.9
2017,AK,7.1,16.8,13.1,11.2,5.8,2,9.7
1988,AZ,40.4,53.8,33.1,18.7,9.3,2.4,27
1992,AZ,32.7,52.5,31.2,17.4,10,2.9,24.2
1996,AZ,27.4,42.1,27.1,15,9.7,2.8,20
2000,AZ,22.1,34.5,22.3,14.2,7.5,2.7,16.9
2005,AZ,18.3,34.5,21.4,13.8,8.2,2.9,16.5
2006,AZ,16.6,31.7,19.1,13,8,3.7,15.4
2007,AZ,15.7,29.1,18.9,12,7,3.5,14.4
2008,AZ,15.9,33.1,20.7,12.7,8,2.9,15.7
2009,AZ,12,28.5,19.4,12.2,7.6,2.6,13.8
2010,AZ,9.4,23.7,17.1,11.5,7.1,2.6,12
2011,AZ,9.6,23.6,19.2,12.4,7.8,3.2,12.8
2012,AZ,8,21.5,17.7,11.8,7.1,3,11.7
2013,AZ,6.8,19.1,16.5,11.2,6.8,2.5,10.7
2014,AZ,5.9,18.2,15.9,10.1,6.5,2.7,10.1
2015,AZ,5.8,18,16.3,10.9,6.9,2.7,10.3
2016,AZ,6.1,18.4,16.4,11.2,6.7,2.7,10.5
