year,state,abortionrate1517,abortionrate1819,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,abortionratetotal
1973,US,17.1,32.2,26.2,16.2,10.6,7.2,3,16.3
1974,US,19.7,38.6,30.5,19.5,12.6,8.5,3.4,19.3
1975,US,22.4,44.8,34.3,21.6,13.6,9,3.7,21.7
1976,US,24.4,49.8,39.6,23.8,14.6,9.5,3.9,24.2
1977,US,26.5,54.6,44.3,26.6,15.2,9.9,4,26.4
1978,US,27.2,59,47.2,28.1,15.9,9.9,3.8,27.7
1979,US,29.1,62.5,49.9,29.3,16.1,9.5,3.6,28.8
1980,US,30.5,61.2,51.5,30.4,16.6,9.4,3.7,29.3
1981,US,30.4,61.3,51.4,31,17.2,9.6,3.6,29.3
1982,US,30.3,60.4,51.1,31.2,17.3,9.4,3.5,28.8
1983,US,31,60.6,51,30.8,17.4,9.7,3.4,28.5
1984,US,30.3,61.5,51.6,30.7,17.4,9.7,3.1,28.1
1985,US,31,62.7,52,30.8,17.5,9.8,3.1,28
1986,US,30.3,61.4,51.8,30.8,17.6,9.8,3,27.4
1987,US,30,60.4,52,30.7,17.8,10,3,26.9
1988,US,30.5,62.7,53.7,31.8,17.9,10.1,3.1,27.4
1989,US,28.3,60.7,53.8,31.9,18.2,10.2,3.2,26.8
1990,US,26.9,59.5,56.7,33.7,19.2,10.8,3.3,27.4
1991,US,24.5,56.5,56.5,33.1,18.6,10.5,3.2,26.2
1992,US,23.3,54.1,55.9,33.2,18.5,10.4,3.3,25.7
1993,US,22.5,52.1,55,32.9,18.2,10.2,3.3,25
1994,US,21.3,48.6,51.9,31.8,17.7,10,3.3,23.7
1995,US,19.8,45.5,49.1,31.2,17.2,9.8,3.3,22.5
1996,US,18.9,44.7,49.3,31.8,17.4,9.8,3.3,22.4
1997,US,17.4,43.2,48.1,31.6,17.4,9.6,3.2,21.9
1998,US,16.6,40.6,47,31.4,17.6,9.6,3.3,21.5
1999,US,15.5,39.2,46.5,31.5,17.9,9.7,3.3,21.4
2000,US,14.7,38.4,46,31.5,18.3,9.8,3.3,21.3
2001,US,13.6,36.6,44.5,31.2,18.4,9.7,3.4,20.9
2002,US,13,34.4,42.7,31,18.4,9.8,3.5,20.5
2003,US,12.6,33.1,41.4,30.4,18.3,9.9,3.4,20.2
2004,US,11.8,31.9,39.8,29.8,18,9.9,3.4,19.7
2005,US,11.4,30.9,38.7,29.3,17.8,10.1,3.4,19.4
2006,US,11.4,31.3,39.8,29.8,18.4,10.4,3.5,20
2007,US,11,30.2,38.5,28.6,17.9,10.2,3.5,19.4
2008,US,10.6,29.1,38.4,28.4,18.1,10.2,3.5,19.4
2009,US,9.6,26.4,36,26.9,17.3,9.9,3.6,18.5
2010,US,8.6,24.2,34.1,25.8,16.8,9.7,3.6,17.7
2011,US,7.5,22.2,32.1,25,16.3,9.6,3.6,16.9
2012,US,6.4,19.7,30,24.3,15.9,9.4,3.6,16.1
2013,US,5.5,18,28.2,23.3,15.2,9,3.3,15.2
2014,US,4.9,15.9,26.7,22.9,14.8,9,3.2,14.6
2015,US,4.3,14.8,25.3,22.6,14.8,8.9,3.1,14.2
2016,US,4,13.8,24.1,22.2,14.5,8.7,3.1,13.7
2017,US,3.7,13.3,23.5,21.9,14.5,8.6,3.1,13.5
