year,state,Under 20,20-24,25-29,30-34,35-39,40 and older,Total
1973,US,60.6,119.8,112.3,55.7,22.1,5.7,68.9
1974,US,58.8,117.8,111.6,53.9,20.3,5.1,67.9
1975,US,56.8,113,108.2,52.4,19.5,4.9,66
1976,US,53.9,110.2,106.1,53.5,19,4.5,65
1977,US,53.9,112.9,110.9,56.3,19.2,4.5,66.7
1978,US,52.5,109.8,108.4,57.8,19,4.1,65.4
1979,US,53.3,112.7,111.4,60.2,19.5,4.1,67.1
1980,US,54.2,114.8,112,61.3,19.7,4.1,68.1
1981,US,53.2,112.2,111.5,61.4,20,4,67.3
1982,US,53.4,111.6,111,64.1,21.2,4.1,67.3
1983,US,52.4,107.8,108.5,64.9,22,4,65.7
1984,US,51.6,106.8,108.7,67,22.9,4,65.5
1985,US,52.1,108.3,111,69.1,24,4.1,66.3
1986,US,51.3,107.4,109.8,70.1,24.4,4.2,65.4
1987,US,51.7,107.9,111.6,72.1,26.3,4.6,65.8
1988,US,54.2,110.2,114.4,74.8,28.1,5,67.3
1989,US,58.6,113.7,117.6,77.4,29.9,5.3,69.2
1990,US,61.6,116.4,120.5,80.4,31.5,5.6,70.8
1991,US,63.2,115.3,117.2,79.2,31.9,5.7,69.3
1992,US,61.7,113.7,115.7,79.6,32.3,6.1,68.4
1993,US,60.5,111.3,113.2,79.9,32.7,6.3,67
1994,US,59.7,109.2,111,80.4,33.4,6.6,65.9
1995,US,57.4,107.5,108.8,81.1,34,6.8,64.6
1996,US,54.7,107.8,108.6,82.1,34.9,7.1,64.1
1997,US,52.3,107.3,108.3,83,35.7,7.4,63.6
1998,US,51.3,108.4,110.2,85.2,36.9,7.7,64.3
1999,US,49.7,107.9,111.2,87.1,37.8,7.8,64.4
2000,US,48.5,108.9,114.1,91.1,39.8,8.3,65.8
2001,US,45.8,105.6,113.8,91.8,40.5,8.5,65.1
2002,US,43.4,103.1,114.7,92.6,41.6,8.8,65
2003,US,41.8,102.3,116.7,95.7,43.9,9.3,66.1
2004,US,41.2,101.5,116.5,96.2,45.5,9.5,66.4
2005,US,40.4,101.8,116.5,96.7,46.4,9.7,66.7
2006,US,41.7,105.5,118,98.9,47.5,10,68.6
2007,US,42,105.4,118.1,100.6,47.6,10.2,69.3
2008,US,40.8,101.8,115,99.4,46.8,10.6,68.1
2009,US,38.4,96.2,111.5,97.5,46.1,10.8,66.2
2010,US,34.8,89.5,108.2,96.1,46.1,10.9,64.1
2011,US,31.7,85.2,107,96.4,47.1,11,63.2
2012,US,29.7,83,106.4,97.2,48.3,11.1,62.9
2013,US,26.7,80.6,105.4,97.8,49.2,11.2,62.4
2014,US,24.5,79.2,106,101,51.1,11.5,63.1
2015,US,22.5,77.1,104.6,101.7,51.9,11.9,62.7
2016,US,20.5,74,102.1,102.6,52.7,12.3,62
2017,US,19,71.2,98.1,100.5,52.4,12.6,60.4
