year,state,pregnancyrate1517,pregnancyrate1819,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,pregnancyratetotal
1973,US,65.1,145.1,172.6,152.6,78.5,34.5,10.2,100.6
1974,US,66.5,149.2,174.9,155.3,78.5,33.6,9.9,102.7
1975,US,68,151.5,173.3,153.6,77.7,33.3,10,103.2
1976,US,67.7,151.5,175.8,153.6,80.3,33.2,9.7,104.6
1977,US,69.7,157.2,184.1,162.4,84.3,34,9.8,109.1
1978,US,68.6,160.7,183.6,161,86.8,33.7,9.1,108.9
1979,US,70.7,166.3,190.1,165.9,89.9,33.9,8.9,112.2
1980,US,72.8,165.6,194.3,167.9,91.8,34,8.9,113.9
1981,US,71.9,163.5,191.1,167.8,92.7,34.6,8.7,112.9
1982,US,72,161.8,190.1,167.5,95.9,35.8,8.8,112.4
1983,US,72.3,159.6,185.4,164,97,37.1,8.5,110.2
1984,US,70.5,160.6,185,164.2,99.6,38.1,8.3,109.5
1985,US,71.3,164.5,187.1,167.1,102.1,39.6,8.3,110.4
1986,US,70,162.9,185.9,165.7,103.4,40.1,8.4,108.6
1987,US,71,160.5,186.7,167.7,106.1,42.6,8.8,108.6
1988,US,74,164.7,191.2,172.2,109.5,44.8,9.4,110.8
1989,US,74.8,167.8,195.7,176.2,112.9,47.1,9.9,112.6
1990,US,74.6,173.3,202.1,181.7,117.7,49.7,10.3,115
1991,US,73.2,175,200.5,177.1,115.5,49.8,10.3,112.1
1992,US,70.6,172,198,175.3,115.9,50.3,10.9,110.4
1993,US,69.7,166.6,194,172,115.9,50.5,11.2,107.9
1994,US,68.1,161.8,188.2,168.2,116,51.1,11.6,105.1
1995,US,64.4,155.3,182.9,164.9,116.2,51.5,11.8,102.3
1996,US,60.7,150.9,183.6,165.3,117.6,52.7,12.2,101.6
1997,US,56.9,146,181.7,164.7,118.7,53.3,12.4,100.4
1998,US,54.2,141.7,181.8,166.8,121.6,54.9,12.8,100.8
1999,US,50.8,138,180.6,168.1,124.2,56.1,13,100.8
2000,US,48.4,135.9,181.2,171.5,129.5,58.5,13.7,102.4
2001,US,44.4,130.9,175.6,170.8,130.4,59.4,13.9,101.2
2002,US,42,124.4,170.6,171.7,131.4,60.8,14.4,100.6
2003,US,40.5,119.9,168.3,173.5,135,63.5,14.9,101.5
2004,US,39.2,117.5,165.6,172.6,135.2,65.5,15.1,101.3
2005,US,37.8,116,164.7,172,135.6,66.8,15.4,101.4
2006,US,38.5,119.9,170.4,174.4,138.8,68.5,15.9,104.3
2007,US,38.1,119.2,168.8,173.2,140.4,68.3,16.1,104.5
2008,US,37,113.8,164.3,169.3,139.2,67.4,16.5,103.1
2009,US,34.1,105.9,155,163.3,136,66.1,16.9,99.8
2010,US,30.3,96.8,145,158.2,133.8,66,17,96.3
2011,US,26.7,89.3,137.6,155.9,133.6,67.1,17.2,94.4
2012,US,24,83.3,132.6,154.4,134.1,68.3,17.2,93.2
2013,US,20.8,76.2,127.6,152.1,134.2,68.9,17,91.6
2014,US,18.5,70,124.3,152.4,137.5,71.2,17.3,91.8
2015,US,16.7,65.2,120.4,150.3,138.3,72.1,17.7,90.9
2016,US,15,60.2,115.3,146.9,139.1,72.7,18.2,89.6
2017,US,13.6,56.9,111.3,141.8,136.6,72.3,18.5,87.4
