year,state,pregnancyrate1517,pregnancyrate1819,pregnancyrate1519,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,pregnancyratetotal,abortionrate1517,abortionrate1819,abortionrate1519,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,abortionratetotal,birthratelt15,birthrate1517,birthrate1819,birthrate1519,birthratelt20,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,birthratetotal
1973,US,65.1,145.1,96.5,172.6,152.6,78.5,34.5,10.2,100.6,17.1,32.2,23,26.2,16.2,10.6,7.2,3,16.3,6.1,38.6,91.4,59.3,60.6,119.8,112.3,55.7,22.1,5.7,68.9
1974,US,66.5,149.2,99,174.9,155.3,78.5,33.6,9.9,102.7,19.7,38.6,27.2,30.5,19.5,12.6,8.5,3.4,19.3,6,37.3,88.9,57.6,58.8,117.8,111.6,53.9,20.3,5.1,67.9
1975,US,68,151.5,101.2,173.3,153.6,77.7,33.3,10,103.2,22.4,44.8,31.3,34.3,21.6,13.6,9,3.7,21.7,6,36.1,85.1,55.6,56.8,113,108.2,52.4,19.5,4.9,66
1976,US,67.7,151.5,101.4,175.8,153.6,80.3,33.2,9.7,104.6,24.4,49.8,34.6,39.6,23.8,14.6,9.5,3.9,24.2,5.7,34.1,80.6,52.8,53.9,110.2,106.1,53.5,19,4.5,65
1977,US,69.7,157.2,105,184.1,162.4,84.3,34,9.8,109.1,26.5,54.6,37.8,44.3,26.6,15.2,9.9,4,26.4,5.6,33.8,80.9,52.8,53.9,112.9,110.9,56.3,19.2,4.5,66.7
1978,US,68.6,160.7,105.8,183.6,161,86.8,33.7,9.1,108.9,27.2,59,40,47.2,28.1,15.9,9.9,3.8,27.7,5.3,32.2,79.8,51.5,52.5,109.8,108.4,57.8,19,4.1,65.4
1979,US,70.7,166.3,109.8,190.1,165.9,89.9,33.9,8.9,112.2,29.1,62.5,42.8,49.9,29.3,16.1,9.5,3.6,28.8,5.5,32.3,81.3,52.3,53.3,112.7,111.4,60.2,19.5,4.1,67.1
1980,US,72.8,165.6,111.4,194.3,167.9,91.8,34,8.9,113.9,30.5,61.2,43.3,51.5,30.4,16.6,9.4,3.7,29.3,5.5,32.7,82,53.2,54.2,114.8,112,61.3,19.7,4.1,68.1
1981,US,71.9,163.5,110.4,191.1,167.8,92.7,34.6,8.7,112.9,30.4,61.3,43.4,51.4,31,17.2,9.6,3.6,29.3,5.4,32,80.1,52.2,53.2,112.2,111.5,61.4,20,4,67.3
1982,US,72,161.8,110.3,190.1,167.5,95.9,35.8,8.8,112.4,30.3,60.4,43.2,51.1,31.2,17.3,9.4,3.5,28.8,5.6,32.2,79.4,52.4,53.4,111.6,111,64.1,21.2,4.1,67.3
1983,US,72.3,159.6,109.8,185.4,164,97,37.1,8.5,110.2,31,60.6,43.7,51,30.8,17.4,9.7,3.4,28.5,5.5,31.8,77.5,51.4,52.4,107.8,108.5,64.9,22,4,65.7
1984,US,70.5,160.6,108.5,185,164.2,99.6,38.1,8.3,109.5,30.3,61.5,43.4,51.6,30.7,17.4,9.7,3.1,28.1,5.5,31,77.4,50.6,51.6,106.8,108.7,67,22.9,4,65.5
1985,US,71.3,164.5,109.6,187.1,167.1,102.1,39.6,8.3,110.4,31,62.7,44,52,30.8,17.5,9.8,3.1,28,5.5,31,79.6,51,52.1,108.3,111,69.1,24,4.1,66.3
1986,US,70,162.9,107.3,185.9,165.7,103.4,40.1,8.4,108.6,30.3,61.4,42.8,51.8,30.8,17.6,9.8,3,27.4,6,30.6,79.5,50.2,51.3,107.4,109.8,70.1,24.4,4.2,65.4
1987,US,71,160.5,107.2,186.7,167.7,106.1,42.6,8.8,108.6,30,60.4,42.3,52,30.7,17.8,10,3,26.9,6.4,31.7,78.4,50.6,51.7,107.9,111.6,72.1,26.3,4.6,65.8
1988,US,74,164.7,112,191.2,172.2,109.5,44.8,9.4,110.8,30.5,62.7,44,53.7,31.8,17.9,10.1,3.1,27.4,6.7,33.7,79.8,53,54.2,110.2,114.4,74.8,28.1,5,67.3
1989,US,74.8,167.8,115.5,195.7,176.2,112.9,47.1,9.9,112.6,28.3,60.7,42.5,53.8,31.9,18.2,10.2,3.2,26.8,7.1,36.4,84.2,57.3,58.6,113.7,117.6,77.4,29.9,5.3,69.2
